source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @JesseBWatters: What would the media say if Barack Obama were president during the Coronavirus Pandemic and handled it the same way as @…,05-05-2020 12:22:18,7433,0,true,1257646802716803073
Twitter for iPhone,Mexico is sadly experiencing very big CoronaVirus problems and now California get this doesn’t want people coming over the Southern Border. A Classic! They are sooo lucky that I am their President. Border is very tight and the Wall is rapidly being built!,05-04-2020 13:42:13,55724,260450,false,1257304527843110914
Twitter for iPhone,RT @Reuters: Roche gets FDA emergency use approval for COVID-19 antibody test https://t.co/vo7nAK58ox https://t.co/eKbCjUuPU7,05-03-2020 20:22:31,5556,0,true,1257042876334321664
Twitter for iPhone,Intelligence has just reported to me that I was correct and that they did NOT bring up the CoronaVirus subject matter until late into January just prior to my banning China from the U.S. Also they only spoke of the Virus in a very non-threatening or matter of fact manner...,05-03-2020 20:18:19,40834,164508,false,1257041819097092096
Twitter for iPhone,RT @Alyssafarah: The Trump Admin is making sure senior citizens are safe &amp; have access to the resources they need during coronavirus. In ad…,05-02-2020 21:25:45,5283,0,true,1256696404917059585
Twitter for iPhone,There is tremendous CoronaVirus testing capacity in Washington for the Senators returning to Capital Hill on Monday. Likewise the House which should return but isn’t because of Crazy Nancy P. The 5 minute Abbott Test will be used. Please inform Dr. Brian P. Monahan. @MarkMeadows,05-02-2020 13:06:53,19651,75817,false,1256570859935932416
Twitter for iPhone,RT @ScottGottliebMD: Positivity rates for covid19 testing nationally are starting to decline as testing expands sharply and we move more te…,05-01-2020 23:30:01,5218,0,true,1256365290276958211
Twitter for iPhone,RT @CDCgov: If you must travel take these steps to protect yourself &amp; others from #COVID19 during your trip. https://t.co/6cRDaMnVUV https…,05-01-2020 23:28:32,3854,0,true,1256364913997623297
Twitter for iPhone,RT @AFThunderbirds: Tomorrow's #AmericaStrong flyover serves as a salute to frontline #COVID responders.#InThisTogether 🇺🇸 https://t.co/l…,05-01-2020 21:54:57,6002,0,true,1256341364129832961
Twitter for iPhone,RT @WhiteHouse: President @realDonaldTrump just met with @GovMurphy on Coronavirus testing financial assistance and planning a great come…,04-30-2020 16:32:58,8651,0,true,1255897944630444038
Twitter for iPhone,RT @RepLizCheney: Safeguarding our nation’s food supply is a critical component necessary to defeat the spread of coronavirus. I support th…,04-30-2020 13:16:43,8709,0,true,1255848558563143688
Twitter for iPhone,RT @mitchellvii: The economy is going to do so well this Summer and make Trump look so good that Democrats will accuse HIM of hyping COVID-…,04-30-2020 12:10:00,5987,0,true,1255831769590435840
Twitter for iPhone,RT @TrumpWarRoom: Yahoo reporter apologizes to President Trump after making false coronavirus test claim in Oval Office meeting https://t.…,04-29-2020 13:13:23,10360,0,true,1255485332339990528
Twitter for iPhone,RT @TrumpWarRoom: Joe Biden rambles and struggles for words during interview on coronavirus response https://t.co/9vKbLkBSro,04-29-2020 12:58:25,6247,0,true,1255481563195850754
